event_day_of_week,event_dayname,total_users,total_visits_sum,total_page_views,avg_visit_duration,avg_page_views_per_visit
1,Monday,2203,11756.0,19561.0,73.00737237446099,1.6635233791065531
2,Tuesday,2324,14225.0,24023.0,75.26454490168254,1.6830672802665325
3,Wednesday,2349,13981.0,23533.0,77.01851250405976,1.6777725037729418
4,Thursday,2189,12389.0,20995.0,75.36474558670821,1.6932833154698106
5,Friday,2075,10854.0,17877.0,73.2218073188947,1.6451983265704129
6,Saturday,1887,9578.0,15317.0,73.7125850340136,1.6029765696892475
7,Sunday,1949,10436.0,16840.0,75.16344617172744,1.6180975609756099
